_element_key,_element_name,_element_type,_list_child_element_keys
AMO,AMO,integer,[]
CASA,CASA,integer,[]
CAUSASEP,CAUSASEP,async_assign_text_value,[]
COMSUP,COMSUP,async_assign_num_value,[]
DACOMSUP,DACOMSUP,async_assign_date,[]
DAPARMA,DAPARMA,async_assign_date,[]
DASEP,DASEP,async_assign_date,[]
ESTADOVIS,ESTADOVIS,async_assign_num_value,[]
EXITDATE,EXITDATE,async_assign_date,[]
EXITPRECIS,EXITPRECIS,async_assign_num_value,[]
FOGAO,FOGAO,integer,[]
ID,ID,integer,[]
IDCOMSUP,IDCOMSUP,async_assign_num_value,[]
IDPARMA,IDPARMA,async_assign_num_value,[]
IDSEP,IDSEP,async_assign_num_value,[]
LASTVISIT,LASTVISIT,async_assign_date,[]
MALFORM,MALFORM,string,[]
MALFORM_TYPE,MALFORM_TYPE,string,[]
MOMA,MOMA,async_assign_num_value,[]
MOR,MOR,integer,[]
NAME,NAME,string,[]
OUTDATE,OUTDATE,date,[]
PARMA,PARMA,async_assign_num_value,[]
PREGID,PREGID,integer,[]
REG,REG,string,[]
REGDIA,REGDIA,date,[]
REGIDC,REGIDC,integer,[]
SEX,SEX,string,[]
TAB,TAB,string,[]
