_element_key,_element_name,_element_type,_list_child_element_keys
ACCID,ACCID,string,[]
ACCIDQUAL,ACCIDQUAL,string,[]
AMARELO,AMARELO,string,[]
AMARELODUR,AMARELODUR,integer,[]
AMERELOINI,AMERELOINI,string,[]
ANTIPALUD,ANTIPALUD,string,[]
BICO_MATER,BICO_MATER,string,[]
BICO_ONDE,BICO_ONDE,string,[]
BOCA_RIJA,BOCA_RIJA,string,[]
BSG,BSG,string,[]
CHOROU,CHOROU,string,[]
CONVUL,CONVUL,string,[]
CONVULTE,CONVULTE,string,[]
CORPO_TESO,CORPO_TESO,string,[]
CRES,CRES,string,[]
CRESTE,CRESTE,string,[]
DEFEITO,DEFEITO,string,[]
DEFEITOQUA,DEFEITOQUA,string,[]
DIAGNOST,DIAGNOST,string,[]
DIAGNOUTRO,DIAGNOUTRO,string,[]
DIAGNQUEM,DIAGNQUEM,string,[]
DIARREIA,DIARREIA,string,[]
DIARREIATE,DIARREIATE,string,[]
DIARREIATI,DIARREIATI,string,[]
DIASDEVIDA,DIASDEVIDA,integer,[]
DORMTENDA,DORMTENDA,string,[]
DORMTENTI,DORMTENTI,string,[]
FAMAR,FAMAR,string,[]
FEBRE,FEBRE,string,[]
FEBRETE,FEBRETE,string,[]
HISTORIA1,HISTORIA1,string,[]
HISTORIA2,HISTORIA2,string,[]
MAMAVA,MAMAVA,string,[]
MORT_ANTE,MORT_ANTE,string,[]
NASCVIVA,NASCVIVA,string,[]
ONDEFALEC,ONDEFALEC,string,[]
ONDEFALO,ONDEFALO,string,[]
OUTRO1DATA,OUTRO1DATA,string,[]
OUTRO1TIPO,OUTRO1TIPO,string,[]
OUTRO2DATA,OUTRO2DATA,string,[]
OUTRO2TIPO,OUTRO2TIPO,string,[]
PALIDEZ,PALIDEZ,string,[]
PALIDEZTE,PALIDEZTE,string,[]
PENQUANTO,PENQUANTO,integer,[]
PENTA,PENTA,string,[]
POLIO,POLIO,string,[]
POLIONAS,POLIONAS,string,[]
POLQUANTO,POLQUANTO,integer,[]
QUALDIAGN,QUALDIAGN,string,[]
RESP,RESP,string,[]
RESPTE,RESPTE,string,[]
SARAM,SARAM,string,[]
SARQUANTO,SARQUANTO,integer,[]
TEVSAR,TEVSAR,string,[]
TEVSARTE,TEVSARTE,string,[]
