_element_key,_element_name,_element_type,_list_child_element_keys
BRACOCRI,BRACOCRI,string,[]
CARTVAC,CARTVAC,string,[]
CAUSASEP,CAUSASEP,string,[]
CICBCGH,CICBCGH,string,[]
CICBCGN,CICBCGN,string,[]
CICBCGV,CICBCGV,string,[]
COMSUP,COMSUP,string,[]
DACOMSUP,DACOMSUP,date,[]
DAPARMA,DAPARMA,date,[]
DASEP,DASEP,date,[]
EXITDATA,EXITDATA,date,[]
EXITMUDO,EXITMUDO,string,[]
EXITPRECIS,EXITPRECIS,string,[]
HOSP,HOSP,string,[]
IDCOMSUP,IDCOMSUP,integer,[]
IDPARMA,IDPARMA,integer,[]
IDSEP,IDSEP,integer,[]
LINFADENOP,LINFADENOP,string,[]
LINFADESUP,LINFADESUP,string,[]
MOMA,MOMA,string,[]
PARMA,PARMA,string,[]
PASSARAMPO,PASSARAMPO,string,[]
PORCA,PORCA,string,[]
PORMO,PORMO,string,[]
PRES,PRES,string,[]
REGIDC,REGIDC,integer,[]
TENDA,TENDA,string,[]
TENDATIPO,TENDATIPO,string,[]
TENDAYN,TENDAYN,string,[]
