_element_key,_element_name,_element_type,_list_child_element_keys
ABMES,ABMES,integer,[]
ASSISTPART,ASSISTPART,string,[]
CART_ANC,CART_ANC,string,[]
CDG_C,CDG_C,integer,[]
CDG_M,CDG_M,integer,[]
FEDEP_C,FEDEP_C,integer,[]
FEDEP_M,FEDEP_M,integer,[]
GRAVIDA_ESTADO,GRAVIDA_ESTADO,string,[]
GRCONS,GRCONS,string,[]
GRINFOS,GRINFOS,assign,[]
GRVAC,GRVAC,string,[]
LITTERSIZE,LITTERSIZE,integer,[]
LOCPAR,LOCPAR,string,[]
OUTDATE,OUTDATE,date,[]
OUTDATE_PRECIS,OUTDATE_PRECIS,string,[]
OUTSTATUS,OUTSTATUS,string,[]
PREGDIA,PREGDIA,date,[]
PREGID,PREGID,string,[]
QVFANSI_C,QVFANSI_C,integer,[]
QVFANSI_M,QVFANSI_M,integer,[]
REGID,REGID,string,[]
SES,SES,integer,[]
TABPART,TABPART,string,[]
VACTTHI,VACTTHI,integer,[]
VISITID,VISITID,string,[]
