_element_key,_element_name,_element_type,_list_child_element_keys
AB,AB,integer,[]
ABNS,ABNS,array,"[""ABNS_items""]"
ABNS_items,items,string,[]
AMO,AMO,integer,[]
CASA,CASA,integer,[]
CESCO,CESCO,string,[]
CICA,CICA,async_assign_num_value,[]
CNASCCERTO,CNASCCERTO,string,[]
CONSENTFOR,CONSENTFOR,async_assign_num_value,[]
CONSENTSIG,CONSENTSIG,async_assign_num_value,[]
ESCO,ESCO,integer,[]
ESCONS,ESCONS,array,"[""ESCONS_items""]"
ESCONS_items,items,string,[]
ESTADO,ESTADO,integer,[]
ESTADOVIS,ESTADOVIS,async_assign_num_value,[]
ETN,ETN,assign,[]
EXITDATA,EXITDATA,async_assign_date,[]
EXITPRECIS,EXITPRECIS,async_assign_num_value,[]
FAL,FAL,integer,[]
FALNS,FALNS,array,"[""FALNS_items""]"
FALNS_items,items,string,[]
FAN,FAN,string,[]
FOGAO,FOGAO,integer,[]
GEM,GEM,string,[]
GEMEOS,GEMEOS,string,[]
GR,GR,async_assign_num_value,[]
ID,ID,integer,[]
IDADE,IDADE,integer,[]
IDFAN,IDFAN,integer,[]
IDFANNS,IDFANNS,array,"[""IDFANNS_items""]"
IDFANNS_items,items,string,[]
INF,INF,assign,[]
LASTVISIT,LASTVISIT,async_assign_date,[]
MIFDNASC,MIFDNASC,date,[]
MIFDNASCNS,MIFDNASCNS,array,"[""MIFDNASCNS_items""]"
MIFDNASCNS_items,items,string,[]
MIFMAE,MIFMAE,string,[]
MIFMAENS,MIFMAENS,array,"[""MIFMAENS_items""]"
MIFMAENS_items,items,string,[]
MIFMONDE,MIFMONDE,string,[]
MIFMONDENS,MIFMONDENS,array,"[""MIFMONDENS_items""]"
MIFMONDENS_items,items,string,[]
MIFMORAVA,MIFMORAVA,string,[]
MOR,MOR,integer,[]
MUL,MUL,integer,[]
NM,NM,integer,[]
NMNS,NMNS,array,"[""NMNS_items""]"
NMNS_items,items,string,[]
NOMEMAE,NOMEMAE,string,[]
PART,PART,integer,[]
PARTNS,PARTNS,array,"[""PARTNS_items""]"
PARTNS_items,items,string,[]
REG,REG,string,[]
REGDIA,REGDIA,date,[]
RELA1,RELA1,string,[]
RELA1NOME,RELA1NOME,string,[]
TAB,TAB,string,[]
VAC10DATA,VAC10DATA,async_assign_date,[]
VAC10INF,VAC10INF,async_assign_num_value,[]
VAC10TIPO,VAC10TIPO,async_assign_num_value,[]
VAC11DATA,VAC11DATA,async_assign_date,[]
VAC11INF,VAC11INF,async_assign_num_value,[]
VAC11TIPO,VAC11TIPO,async_assign_num_value,[]
VAC12DATA,VAC12DATA,async_assign_date,[]
VAC12INF,VAC12INF,async_assign_num_value,[]
VAC12TIPO,VAC12TIPO,async_assign_num_value,[]
VAC13DATA,VAC13DATA,async_assign_date,[]
VAC13INF,VAC13INF,async_assign_num_value,[]
VAC13TIPO,VAC13TIPO,async_assign_num_value,[]
VAC14DATA,VAC14DATA,async_assign_date,[]
VAC14INF,VAC14INF,async_assign_num_value,[]
VAC14TIPO,VAC14TIPO,async_assign_num_value,[]
VAC15DATA,VAC15DATA,async_assign_date,[]
VAC15INF,VAC15INF,async_assign_num_value,[]
VAC15TIPO,VAC15TIPO,async_assign_num_value,[]
VAC16DATA,VAC16DATA,async_assign_date,[]
VAC16INF,VAC16INF,async_assign_num_value,[]
VAC16TIPO,VAC16TIPO,async_assign_num_value,[]
VAC17DATA,VAC17DATA,async_assign_date,[]
VAC17INF,VAC17INF,async_assign_num_value,[]
VAC17TIPO,VAC17TIPO,async_assign_num_value,[]
VAC18DATA,VAC18DATA,async_assign_date,[]
VAC18INF,VAC18INF,async_assign_num_value,[]
VAC18TIPO,VAC18TIPO,async_assign_num_value,[]
VAC19DATA,VAC19DATA,async_assign_date,[]
VAC19INF,VAC19INF,async_assign_num_value,[]
VAC19TIPO,VAC19TIPO,async_assign_num_value,[]
VAC1DATA,VAC1DATA,async_assign_date,[]
VAC1INF,VAC1INF,async_assign_num_value,[]
VAC1TIPO,VAC1TIPO,async_assign_num_value,[]
VAC20DATA,VAC20DATA,async_assign_date,[]
VAC20INF,VAC20INF,async_assign_num_value,[]
VAC20TIPO,VAC20TIPO,async_assign_num_value,[]
VAC2DATA,VAC2DATA,async_assign_date,[]
VAC2INF,VAC2INF,async_assign_num_value,[]
VAC2TIPO,VAC2TIPO,async_assign_num_value,[]
VAC3DATA,VAC3DATA,async_assign_date,[]
VAC3INF,VAC3INF,async_assign_num_value,[]
VAC3TIPO,VAC3TIPO,async_assign_num_value,[]
VAC4DATA,VAC4DATA,async_assign_date,[]
VAC4INF,VAC4INF,async_assign_num_value,[]
VAC4TIPO,VAC4TIPO,async_assign_num_value,[]
VAC5DATA,VAC5DATA,async_assign_date,[]
VAC5INF,VAC5INF,async_assign_num_value,[]
VAC5TIPO,VAC5TIPO,async_assign_num_value,[]
VAC6DATA,VAC6DATA,async_assign_date,[]
VAC6INF,VAC6INF,async_assign_num_value,[]
VAC6TIPO,VAC6TIPO,async_assign_num_value,[]
VAC7DATA,VAC7DATA,async_assign_date,[]
VAC7INF,VAC7INF,async_assign_num_value,[]
VAC7TIPO,VAC7TIPO,async_assign_num_value,[]
VAC8DATA,VAC8DATA,async_assign_date,[]
VAC8INF,VAC8INF,async_assign_num_value,[]
VAC8TIPO,VAC8TIPO,async_assign_num_value,[]
VAC9DATA,VAC9DATA,async_assign_date,[]
VAC9INF,VAC9INF,async_assign_num_value,[]
VAC9TIPO,VAC9TIPO,async_assign_num_value,[]
VACNOH,VACNOH,integer,[]
VACNOHCERTO,VACNOHCERTO,string,[]
VACNOHNS,VACNOHNS,array,"[""VACNOHNS_items""]"
VACNOHNS_items,items,string,[]
VIVO,VIVO,integer,[]
VIVONS,VIVONS,array,"[""VIVONS_items""]"
VIVONS_items,items,string,[]
