REGIAO,REG,TABANCA,TAB,AMOSTRA;;;REGIAO;REG;TABANCA;TAB;AMOSTRA
Oio,1,Ntchugal,1,1;;;Oio;1;Ntchugal;1;1
Oio,1,Blas,2,2;;;Oio;1;Blas;2;2
Oio,1,Colicunda,3,2;;;Oio;1;Colicunda;3;2
Oio,1,Wanquilim,4,3;;;Oio;1;Wanquilim;4;3
Oio,1,Mandingara,5,3;;;Oio;1;Mandingara;5;3
Oio,1,Cutia,6,4;;;Oio;1;Cutia;6;4
Oio,1,Rossum,7,1;;;Oio;1;Rossum;7;1
Oio,1,Amedalae,9,5;;;Oio;1;Amedalae;9;5
Oio,1,Ntchane,10,5;;;Oio;1;Ntchane;10;5
Oio,1,Quinhaque Mansoa,11,6;;;Oio;1;Quinhaque Mansoa;11;6
Oio,1,Ntchangue Bideta,12,6;;;Oio;1;Ntchangue Bideta;12;6
Oio,1,Ntchangue Subal,13,7;;;Oio;1;Ntchangue Subal;13;7
Oio,1,Jogudul Com,14,7;;;Oio;1;Jogudul Com;14;7
Oio,1,Joaquim Com,15,8;;;Oio;1;Joaquim Com;15;8
Oio,1,Cangha Ntchugal,16,9;;;Oio;1;Cangha Ntchugal;16;9
Oio,1,Cangha Cocry,17,9;;;Oio;1;Cangha Cocry;17;9
Oio,1,Encheia,18,10;;;Oio;1;Encheia;18;10
Oio,1,Cadjque,19,10;;;Oio;1;Cadjque;19;10
Oio,1,Mpas,20,11;;;Oio;1;Mpas;20;11
Oio,1,Quinhaque Ncor,21,12;;;Oio;1;Quinhaque Ncor;21;12
Oio,1,Quinhaque,22,12;;;Oio;1;Quinhaque;22;12
Oio,1,Untche,23,13;;;Oio;1;Untche;23;13
Oio,1,Cumbidjam,24,14;;;Oio;1;Cumbidjam;24;14
Oio,1,Sintcham,25,15;;;Oio;1;Sintcham;25;15
Oio,1,Sansancutoto,26,16;;;Oio;1;Sansancutoto;26;16
Oio,1,Bironque,27,17;;;Oio;1;Bironque;27;17
Oio,1,Gendo,28,18;;;Oio;1;Gendo;28;18
Oio,1,Mansaba,29,19;;;Oio;1;Mansaba;29;19
Oio,1,Sanaia,30,20;;;Oio;1;Sanaia;30;20
Oio,1,Galenque,31,20;;;Oio;1;Galenque;31;20
Oio,1,Demba So,32,20;;;Oio;1;Demba So;32;20
Biombo,2,Bilma,1,1;;;Biombo;2;Bilma;1;1
Biombo,2,Gua,2,2;;;Biombo;2;Gua;2;2
Biombo,2,Ntusse,3,3;;;Biombo;2;Ntusse;3;3
Biombo,2,Ponta Vicente,4,4;;;Biombo;2;Ponta Vicente;4;4
Biombo,2,Incaite,5,4;;;Biombo;2;Incaite;5;4
Biombo,2,Qindinga,6,1;;;Biombo;2;Qindinga;6;1
Biombo,2,Intuzinho,7,2;;;Biombo;2;Intuzinho;7;2
Biombo,2,Bambadinca,8,5;;;Biombo;2;Bambadinca;8;5
Biombo,2,Iem,9,6;;;Biombo;2;Iem;9;6
Biombo,2,Buno,10,7;;;Biombo;2;Buno;10;7
Biombo,2,Prite,11,8;;;Biombo;2;Prite;11;8
Biombo,2,Reino Quicete,12,8;;;Biombo;2;Reino Quicete;12;8
Biombo,2,Betafte,13,8;;;Biombo;2;Betafte;13;8
Biombo,2,Bissa,14,9;;;Biombo;2;Bissa;14;9
Biombo,2,Reino Tor,15,10;;;Biombo;2;Reino Tor;15;10
Biombo,2,Dorse,16,11;;;Biombo;2;Dorse;16;11
Biombo,2,Blim Blim,17,12;;;Biombo;2;Blim Blim;17;12
