_element_key,_element_name,_element_type,_list_child_element_keys
BRACOCRI,BRACOCRI,string,[]
CARTVAC,CARTVAC,string,[]
CICBCGH,CICBCGH,string,[]
CICBCGN,CICBCGN,string,[]
CICBCGV,CICBCGV,string,[]
COMSUP,COMSUP,string,[]
EXITDATA,EXITDATA,date,[]
EXITMUDO,EXITMUDO,string,[]
EXITPRECIS,EXITPRECIS,string,[]
HOSP,HOSP,string,[]
LINFADENOP,LINFADENOP,string,[]
LINFADESUP,LINFADESUP,string,[]
PARMA,PARMA,string,[]
PASSARAMPO,PASSARAMPO,string,[]
PORCA,PORCA,string,[]
PRES,PRES,string,[]
REGIDC,REGIDC,integer,[]
TENDA,TENDA,string,[]
TENDATIPO,TENDATIPO,string,[]
TENDAYN,TENDAYN,string,[]
