_element_key,_element_name,_element_type,_list_child_element_keys
ABMES,ABMES,integer,[]
ASSISTPART,ASSISTPART,string,[]
CART_ANC,CART_ANC,string,[]
CDG_C,CDG_C,integer,[]
CDG_M,CDG_M,integer,[]
FEDEP_C,FEDEP_C,integer,[]
FEDEP_M,FEDEP_M,integer,[]
GRCONS,GRCONS,string,[]
GRVAC,GRVAC,string,[]
LITTERSIZE,LITTERSIZE,integer,[]
LOCPAR,LOCPAR,string,[]
OUTDATE,OUTDATE,date,[]
OUTDATE_PRECIS,OUTDATE_PRECIS,string,[]
OUTSTATUS,OUTSTATUS,string,[]
QVFANSI_C,QVFANSI_C,integer,[]
QVFANSI_M,QVFANSI_M,integer,[]
TABPART,TABPART,string,[]
VACTTHI,VACTTHI,integer,[]
inf1,inf1,string,[]
inf2,inf2,string,[]
test,test,string,[]
