_element_key,_element_name,_element_type,_list_child_element_keys
CALT1,CALT1,number,[]
CALT2,CALT2,number,[]
CALT3,CALT3,number,[]
CALT4,CALT4,number,[]
CICA,CICA,string,[]
CICA1,CICA1,string,[]
CICA1CERT,CICA1CERT,string,[]
CICA1OBS,CICA1OBS,string,[]
CICA2,CICA2,string,[]
CICA2CERT,CICA2CERT,string,[]
CICA2OBS,CICA2OBS,string,[]
CICA3,CICA3,string,[]
CICA3CERT,CICA3CERT,string,[]
CICA3OBS,CICA3OBS,string,[]
CICA4,CICA4,string,[]
CICA4CERT,CICA4CERT,string,[]
CICA4OBS,CICA4OBS,string,[]
CICADATA,CICADATA,date,[]
CLAR1,CLAR1,number,[]
CLAR2,CLAR2,number,[]
CLAR3,CLAR3,number,[]
CLAR4,CLAR4,number,[]
CNUM1,CNUM1,integer,[]
CNUM2,CNUM2,integer,[]
CNUM3,CNUM3,integer,[]
CNUM4,CNUM4,integer,[]
ID,ID,string,[]
NCICA,NCICA,string,[]
