_element_key,_element_name,_element_type,_list_child_element_keys
ID,ID,string,[]
VAC10DATA,VAC10DATA,date,[]
VAC10INF,VAC10INF,string,[]
VAC10REG,VAC10REG,date,[]
VAC10TIPO,VAC10TIPO,string,[]
VAC11DATA,VAC11DATA,date,[]
VAC11INF,VAC11INF,string,[]
VAC11REG,VAC11REG,date,[]
VAC11TIPO,VAC11TIPO,string,[]
VAC12DATA,VAC12DATA,date,[]
VAC12INF,VAC12INF,string,[]
VAC12REG,VAC12REG,date,[]
VAC12TIPO,VAC12TIPO,string,[]
VAC1DATA,VAC1DATA,date,[]
VAC1INF,VAC1INF,string,[]
VAC1REG,VAC1REG,date,[]
VAC1TIPO,VAC1TIPO,string,[]
VAC2DATA,VAC2DATA,date,[]
VAC2INF,VAC2INF,string,[]
VAC2REG,VAC2REG,date,[]
VAC2TIPO,VAC2TIPO,string,[]
VAC3DATA,VAC3DATA,date,[]
VAC3INF,VAC3INF,string,[]
VAC3REG,VAC3REG,date,[]
VAC3TIPO,VAC3TIPO,string,[]
VAC4DATA,VAC4DATA,date,[]
VAC4INF,VAC4INF,string,[]
VAC4REG,VAC4REG,date,[]
VAC4TIPO,VAC4TIPO,string,[]
VAC5DATA,VAC5DATA,date,[]
VAC5INF,VAC5INF,string,[]
VAC5REG,VAC5REG,date,[]
VAC5TIPO,VAC5TIPO,string,[]
VAC6DATA,VAC6DATA,date,[]
VAC6INF,VAC6INF,string,[]
VAC6REG,VAC6REG,date,[]
VAC6TIPO,VAC6TIPO,string,[]
VAC7DATA,VAC7DATA,date,[]
VAC7INF,VAC7INF,string,[]
VAC7REG,VAC7REG,date,[]
VAC7TIPO,VAC7TIPO,string,[]
VAC8DATA,VAC8DATA,date,[]
VAC8INF,VAC8INF,string,[]
VAC8REG,VAC8REG,date,[]
VAC8TIPO,VAC8TIPO,string,[]
VAC9DATA,VAC9DATA,date,[]
VAC9INF,VAC9INF,string,[]
VAC9REG,VAC9REG,date,[]
VAC9TIPO,VAC9TIPO,string,[]
