_element_key,_element_name,_element_type,_list_child_element_keys
BCG,BCG,date,[]
BCGCHECK,BCGCHECK,string,[]
FEBAMAREL,FEBAMAREL,date,[]
FEBAMARELCHECK,FEBAMARELCHECK,string,[]
ID,ID,integer,[]
PCV1,PCV1,date,[]
PCV1CHECK,PCV1CHECK,string,[]
PCV2,PCV2,date,[]
PCV2CHECK,PCV2CHECK,string,[]
PCV3,PCV3,date,[]
PCV3CHECK,PCV3CHECK,string,[]
PENTA1,PENTA1,date,[]
PENTA1CHECK,PENTA1CHECK,string,[]
PENTA2,PENTA2,date,[]
PENTA2CHECK,PENTA2CHECK,string,[]
PENTA3,PENTA3,date,[]
PENTA3CHECK,PENTA3CHECK,string,[]
POLIO1,POLIO1,date,[]
POLIO1CHECK,POLIO1CHECK,string,[]
POLIO2,POLIO2,date,[]
POLIO2CHECK,POLIO2CHECK,string,[]
POLIO3,POLIO3,date,[]
POLIO3CHECK,POLIO3CHECK,string,[]
POLIONAS,POLIONAS,date,[]
POLIONASCHECK,POLIONASCHECK,string,[]
ROX1,ROX1,date,[]
ROX1CHECK,ROX1CHECK,string,[]
ROX2,ROX2,date,[]
ROX2CHECK,ROX2CHECK,string,[]
SARAMPO1,SARAMPO1,date,[]
SARAMPO1CHECK,SARAMPO1CHECK,string,[]
VISITDATA,VISITDATA,date,[]
VPI,VPI,date,[]
VPICHECK,VPICHECK,string,[]
