_element_key,_element_name,_element_type,_list_child_element_keys
ABPART,ABPART,string,[]
ABPARTDATA,ABPARTDATA,date,[]
ABPARTNV,ABPARTNV,string,[]
ABPARTNVDATA,ABPARTNVDATA,date,[]
ABPARTNVPRECIS,ABPARTNVPRECIS,string,[]
ABPARTPRECIS,ABPARTPRECIS,string,[]
ABPARTTIPO,ABPARTTIPO,string,[]
ASSISTENTE,ASSISTENTE,string,[]
CART,CART,string,[]
CESCO,CESCO,string,[]
CICA,CICA,integer,[]
CONSENTDAT,CONSENTDAT,date,[]
CONSENTFOR,CONSENTFOR,string,[]
CONSENTSIG,CONSENTSIG,string,[]
CONSENTTYP,CONSENTTYP,string,[]
CONT,CONT,date,[]
ESCO,ESCO,integer,[]
ESCONS,ESCONS,array,"[""ESCONS_items""]"
ESCONS_items,items,string,[]
ESTADOVIS,ESTADOVIS,string,[]
EVITA,EVITA,string,[]
EVITA2,EVITA2,array,"[""EVITA2_items""]"
EVITA2_items,items,string,[]
EXITDATA,EXITDATA,date,[]
EXITMUDO,EXITMUDO,string,[]
EXITPRECIS,EXITPRECIS,string,[]
GR,GR,string,[]
GRCORE,GRCORE,integer,[]
ID,ID,string,[]
LASTVISIT,LASTVISIT,date,[]
PARPAD,PARPAD,string,[]
TENDA,TENDA,string,[]
TENDATIPO,TENDATIPO,string,[]
TENDAYN,TENDAYN,string,[]
